1417;374
1417;373
1417;374
1417;373
1416;372
1414;372
1408;371
1402;371
1393;370
1381;370
1368;374
1355;375
1342;377
1330;380
1318;380
1308;386
1298;392
1290;401
1284;414
1280;428
1276;438
1277;467
1282;480
1289;491
1299;497
1318;506
1328;508
1339;506
1349;502
1360;495
1369;486
1377;476
1384;466
1391;448
1393;441
1393;434
1395;429
1396;426
1397;424
1396;425
1397;428
1397;432
1397;440
1397;451
1398;462
1397;491
1396;507
1393;524
1392;541
1389;561
1384;583
1381;605
1378;625
1375;645
1370;662
1356;686
1349;700
1338;711
1327;720
1313;725
1285;727
1270;722
1257;711
1243;698
1233;688
1229;677
1236;668
1238;663
