886;367
887;367
888;367
889;367
890;367
895;366
897;363
901;362
904;358
907;355
910;352
916;345
919;340
922;336
924;330
929;319
931;313
933;307
936;301
939;296
941;290
946;281
948;277
949;270
951;265
952;263
954;257
955;254
955;252
956;253
957;254
958;257
959;261
959;265
960;278
959;285
959;291
958;298
959;309
959;317
960;327
960;335
960;342
959;349
961;358
962;368
964;378
966;386
968;394
968;403
970;413
971;432
971;443
972;454
973;473
974;479
975;491
976;496
977;512
976;517
976;521
976;532
977;536
977;539
977;542
975;556
974;561
974;568
976;569
