1199;343
1199;342
1198;342
1199;341
1198;341
1199;341
1198;341
1199;341
1199;340
1200;340
1201;337
1208;327
1214;317
1219;311
1232;298
1247;285
1256;283
1264;284
1286;292
1297;300
1306;313
1322;344
1326;359
1327;376
1325;393
1318;409
1299;431
1290;435
1280;439
1272;441
1268;441
1268;445
1271;446
1277;447
1283;446
1291;447
1300;449
1310;450
1319;456
1329;461
1347;477
1354;489
1359;502
1358;519
1359;534
1354;553
1346;570
1339;587
1327;601
1307;619
1266;636
1248;636
1230;631
1218;614
1207;598
1193;587
1181;581
1181;568
