1111;234
1110;236
1111;236
1111;235
1112;235
1113;235
1114;235
1114;234
1113;231
1112;229
1111;227
1110;224
1108;221
1106;217
1102;213
1098;210
1094;209
1089;206
1084;203
1079;201
1072;199
1066;198
1059;198
1052;200
1046;201
1041;205
1035;210
1029;216
1025;221
1020;227
1014;240
1011;248
1009;255
1008;260
1009;268
1011;275
1015;288
1018;293
1022;298
1027;305
1033;312
1039;318
1046;327
1053;331
1060;338
1067;344
1073;349
1078;353
1089;364
1095;368
1100;373
1105;376
1109;383
1111;388
1114;395
1115;401
1117;410
1119;418
1121;426
1123;433
1123;439
1123;446
1122;455
1121;464
1119;472
1115;481
1110;489
1105;496
1101;503
1094;510
1087;514
1079;520
1072;521
1063;522
1054;520
1046;519
1039;517
1031;513
1023;508
1019;502
1016;494
1014;489
1014;482
1014;476
1014;471
1015;465
1016;461
1017;458
1020;452
1023;446
1026;441
1030;437
1035;432
1041;428
1048;423
1054;420
1060;416
1066;411
1073;408
1077;404
1082;400
1086;396
1091;391
1092;387
1094;380
1096;373
1097;365
1096;358
1094;343
1092;338
1091;332
1090;321
1089;315
1089;308
1088;302
1087;295
1086;289
1085;287
1085;283
1085;277
1084;274
1085;272
1086;270
1086;269
1086;268
1088;270
1088;275
1090;280
1091;283
